id,bgg_id,title,release_year,url,min_players,max_players,min_play_time,max_play_time,min_age,avg_rating,no_of_ratings,std_deviation,weight,overall_rank,own_count,categories,mechanics,created_at,updated_at
219,12,Ra,1999,https://cf.geekdo-images.com/k7lG683LBZdvFyS-FH-MpA__small/img/6KTtiknxxGwd0ARKrlsdoXFtHfI=/fit-in/200x150/filters:strip_icc()/pic6746812.png,2,5,45,60,12,7.69284,30475,1.3311,2.3107,119,37631,"Ancient, Mythology","Auction / Bidding, Auction: Once Around, Closed Economy Auction, Constrained Bidding, Hidden Victory Points, Push Your Luck, Set Collection",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
227,42,Tigris & Euphrates,1997,https://cf.geekdo-images.com/t-cfSQs4Ic3SAzCSxTigLg__small/img/S1_WOK5YsEMbw0EHwCFIN026tkM=/fit-in/200x150/filters:strip_icc()/pic9203204.png,2,4,60,120,14,7.70365,29666,1.49192,3.4808,127,32181,"Abstract Strategy, Ancient, Civilization, Territory Building","Area Majority / Influence, Chaining, Connections, Force Commitment, Hand Management, Hidden Victory Points, Highest-Lowest Scoring, Income, Set Collection, Square Grid, Take That, Tile Placement",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
100,93,El Grande,1995,https://cf.geekdo-images.com/RRKDHaYtFPHhczkUDcHOmg__small/img/XPcVtsZPITv5qe3IXpzMKa5RSYA=/fit-in/200x150/filters:strip_icc()/pic7906240.jpg,2,5,60,120,12,7.7672,32127,1.32477,2.9373,100,34089,Medieval,"Action Drafting, Area Majority / Influence, Auction / Bidding, Hand Management, Open Drafting, Selection Order Bid, Simultaneous Action Selection, Take That, Turn Order: Auction",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
267,463,Magic: The Gathering,1993,https://cf.geekdo-images.com/CxJmNl4wR4InjqyNrMdBTw__small/img/TtlQgYxLTPyYQWJvruMHfwKPReE=/fit-in/200x150/filters:strip_icc()/pic163749.jpg,2,6,20,20,13,7.59134,42253,1.84775,3.2815,167,46818,"Card Game, Collectible Components, Fantasy, Fighting","Betting and Bluffing, Closed Drafting, Deck Construction, Hand Management, Income, Interrupts, Player Elimination, Tags, Take That",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
46,521,Crokinole,1876,https://cf.geekdo-images.com/DOwZ7_Q1w68iBhARcDAxig__small/img/nkY1mEj6fItSXJHctfzFcRIcDT0=/fit-in/200x150/filters:strip_icc()/pic8549797.jpg,2,4,30,30,8,8.06058,20440,1.60279,1.2221,46,19696,Action / Dexterity,"Flicking, Team-Based Game",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
292,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,https://cf.geekdo-images.com/ptDZ2tJ6dSNiONAx3HH8Tw__small/img/TKoDj4fKzLa_m45TCQeDGcBf63o=/fit-in/200x150/filters:strip_icc()/pic3514298.jpg,1,8,60,120,13,7.6104,22504,1.464,2.6628,192,44193,"Deduction, Murder / Mystery, Novel-based, Post-Napoleonic","Cooperative Game, Deduction, Narrative Choice / Paragraph, Solo / Solitaire Game, Storytelling",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
73,2651,Power Grid,2004,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__small/img/jWTonZ5oYNlPzpELKHIJGWSS0Y8=/fit-in/200x150/filters:strip_icc()/pic4459753.jpg,2,6,120,120,12,7.80005,68570,1.33579,3.2487,73,85243,"Economic, Industry / Manufacturing","Auction / Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based, Variable Set-up",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
53,3076,Puerto Rico,2002,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__small/img/5fLo89ChZH6Wzukk36bhZ-EpBS0=/fit-in/200x150/filters:strip_icc()/pic158548.jpg,3,5,90,150,12,7.89981,73434,1.39081,3.2679,53,84216,"City Building, Economic, Farming","Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
238,4098,Age of Steam,2002,https://cf.geekdo-images.com/gBPzZsgm9nrUYVfdK216NA__small/img/aceZ647BbV53Yv7rod9AwpTTst0=/fit-in/200x150/filters:strip_icc()/pic4557340.png,1,6,120,120,13,7.86523,12392,1.58625,3.8597,138,13832,"Economic, Post-Napoleonic, Trains, Transportation","Auction / Bidding, Catch the Leader, Connections, Dice Rolling, Hexagon Grid, Loans, Network and Route Building, Pick-up and Deliver, Player Elimination, Scenario / Mission / Campaign Game, Selection Order Bid, Solo / Solitaire Game, Tile Placement, Turn Order: Auction, Victory Points as a Resource",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
14,12333,Twilight Struggle,2005,https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__small/img/p7alNkNy8Avm8UISmhYHCiMz5bE=/fit-in/200x150/filters:strip_icc()/pic3530661.jpg,2,2,120,180,13,8.23221,51316,1.57858,3.6133,14,72399,"Modern Warfare, Political, Wargame","Action / Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Events, Hand Management, Simulation, Simultaneous Action Selection, Stat Check Resolution, Sudden Death Ending, Tug of War, Variable Player Powers, Variable Set-up",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
